movie_id,imdb_id,title,year,genre,imdb_rating,imdb_url,poster
1,tt0114709,Toy Story,1995,"Animation, Adventure, Comedy, Family, Fantasy",8.3,https://www.imdb.com/title/tt0114709/,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
2,tt0113497,Jumanji,1995,"Adventure, Family, Fantasy",6.9,https://www.imdb.com/title/tt0113497/,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
3,tt0113228,Grumpier Old Men,1995,"Comedy, Romance",6.6,https://www.imdb.com/title/tt0113228/,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
4,tt0114885,Waiting to Exhale,1995,"Comedy, Drama, Romance",5.8,https://www.imdb.com/title/tt0114885/,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
5,tt0113041,Father of the Bride Part II,1995,"Comedy, Family, Romance",6.0,https://www.imdb.com/title/tt0113041/,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
6,tt0113277,Heat,1995,"Crime, Drama, Thriller",8.2,https://www.imdb.com/title/tt0113277/,https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
7,tt0114319,Sabrina,1995,"Comedy, Drama",6.3,https://www.imdb.com/title/tt0114319/,https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg
8,tt0112302,Tom and Huck,1995,"Adventure, Comedy, Drama, Family, Romance, Western",5.6,https://www.imdb.com/title/tt0112302/,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
9,tt0114576,Sudden Death,1995,"Action, Crime, Thriller",5.7,https://www.imdb.com/title/tt0114576/,https://m.media-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg
10,tt0113189,GoldenEye,1995,"Action, Adventure, Thriller",7.2,https://www.imdb.com/title/tt0113189/,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg
11,tt0112346,The American President,1995,"Comedy, Drama, Romance",6.8,https://www.imdb.com/title/tt0112346/,https://m.media-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX300.jpg
12,tt0112896,Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror",5.8,https://www.imdb.com/title/tt0112896/,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg
13,tt0112453,Balto,1995,"Animation, Adventure, Drama, Family, History",7.1,https://www.imdb.com/title/tt0112453/,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
14,tt0113987,Nixon,1995,"Biography, Drama, History",7.1,https://www.imdb.com/title/tt0113987/,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
15,tt0112760,Cutthroat Island,1995,"Action, Adventure, Comedy",5.6,https://www.imdb.com/title/tt0112760/,https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg
16,tt0112641,Casino,1995,"Crime, Drama",8.2,https://www.imdb.com/title/tt0112641/,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
17,tt0114388,Sense and Sensibility,1995,"Drama, Romance",7.7,https://www.imdb.com/title/tt0114388/,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg
18,tt0113101,Four Rooms,1995,Comedy,6.7,https://www.imdb.com/title/tt0113101/,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
19,tt0112281,Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",6.3,https://www.imdb.com/title/tt0112281/,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
20,tt0113845,Money Train,1995,"Action, Comedy, Crime, Drama, Thriller",5.6,https://www.imdb.com/title/tt0113845/,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
21,tt0113161,Get Shorty,1995,"Comedy, Crime, Thriller",6.9,https://www.imdb.com/title/tt0113161/,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg
22,tt0112722,Copycat,1995,"Drama, Mystery, Thriller",6.6,https://www.imdb.com/title/tt0112722/,https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg
23,tt0112401,Assassins,1995,"Action, Crime, Thriller",6.3,https://www.imdb.com/title/tt0112401/,https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg
24,tt0114168,Powder,1995,"Drama, Fantasy, Mystery",6.6,https://www.imdb.com/title/tt0114168/,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
25,tt0113627,Leaving Las Vegas,1995,"Drama, Romance",7.5,https://www.imdb.com/title/tt0113627/,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg
26,tt0114057,Othello,1995,"Drama, Romance",6.9,https://www.imdb.com/title/tt0114057/,https://m.media-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_SX300.jpg
27,tt0114011,Now and Then,1995,"Comedy, Drama, Romance",6.8,https://www.imdb.com/title/tt0114011/,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg
28,tt0114117,Persuasion,1995,"Drama, Romance",7.7,https://www.imdb.com/title/tt0114117/,http://ia.media-imdb.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg
